MatchID,PlayerName,Club,ShirtNumber,Nation,Position,AgeYrDays,MinutesPlayed,Goals,Assists,PenatiesScored,PenaltiesAttempted,ShotsTotal,ShotsOnTarget,YellowCards,RedCards,Touches,Pressure,Tackles,Interception,Blocks,PassesCmp,PassesAtempted,PassCmp%,PassDistance,Carries,CarriesDistance,DribblesSucc,DribblesAttempted,TotalDistOfPasses,TotalProgDist,ShortPassCmp,ShortPassAttempted,MediumPassCmp,MediumPassAttempted,LongPassCmp,LongPassAttempted,LivePass,DeadBall,Freekick,ThroughBalls,PassUnderPressure,Switches,Crosses,CornerKicks,CornerInswinging,CornersOutswinging,CornersStraight,LeftFoot,RightFoot,Head,ThrowIns,OtherBodyPart,NoOfPlayersTackled,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,PressuresAtt,PressuresSuccess,PressuresSucc%,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,Touches,FoulsCommitted,FoulsDrawn,Offsides,PenaltiesWon,PenaltiesConcede,OwnGoals,AerialDuelsWon,AerialDuelsLost,AerialDuelsWin%
255,Roberto Firmino,Liverpool,9,br BRA,FW,28-346,90,0,0,0,0,2,0,1,0,49,26,2,0,1,30,35,85.7,128,31,107,1,1,397,128,18,20,5,7,2,2,34,1,0,0,13,0,2,0,0,0,0,4,26,3,0,2,2,1,0,1,1,26,6,23.1,0,5,22,27,9,48,1,0,0,0,0,0,0,3,0
255,Sadio Mané,Liverpool,10,sn SEN,LW,28-155,90,0,0,0,0,5,0,0,0,54,20,0,0,2,32,37,86.5,184,37,142,4,5,517,184,15,16,12,13,2,2,36,1,0,0,12,0,0,0,0,0,0,11,23,0,1,1,0,0,0,0,0,20,5,25,0,7,21,30,9,53,1,3,1,0,0,0,1,2,33.3
255,Mohamed Salah,Liverpool,11,eg EGY,RW,28-089,90,3,0,2,2,7,1,0,0,80,23,3,0,2,38,49,77.6,211,64,280,9,13,580,211,18,20,14,15,3,8,49,0,0,0,13,1,0,0,0,0,0,39,9,0,0,1,3,2,2,0,1,23,7,30.4,0,3,24,58,18,78,1,0,0,0,0,0,0,1,0
255,Georginio Wijnaldum,Liverpool,5,nl NED,CM,29-306,90,0,0,0,0,2,1,0,0,37,25,3,0,0,18,23,78.3,29,21,76,1,3,230,29,12,13,4,7,1,2,23,0,0,0,10,0,0,0,0,0,0,1,21,0,0,1,3,2,0,3,0,25,11,44,0,3,23,13,3,37,1,1,0,0,0,0,0,1,0
255,Naby Keïta,Liverpool,8,gn GUI,CM,25-215,57,0,0,0,0,1,0,0,0,45,24,1,3,2,25,30,83.3,151,26,109,3,4,390,151,10,13,14,15,1,1,27,3,0,0,9,0,1,0,0,0,0,0,26,3,0,0,1,1,1,0,0,24,11,45.8,1,7,22,19,6,42,1,0,0,0,0,0,1,0,100
255,Fabinho,Liverpool,3,br BRA,CM,26-325,33,0,0,0,0,0,0,0,0,18,7,1,0,0,12,14,85.7,65,8,13,0,0,190,65,5,5,6,6,0,2,14,0,0,0,4,0,0,0,0,0,0,1,12,1,0,0,1,0,1,0,0,7,2,28.6,2,4,7,7,1,18,1,1,0,1,0,0,1,0,100
255,Jordan Henderson,Liverpool,14,eng ENG,DM,30-087,65,0,0,0,0,1,1,0,0,43,16,2,0,1,29,39,74.4,192,24,72,1,1,565,192,12,13,13,15,4,10,38,1,1,0,11,3,0,0,0,0,0,5,32,2,0,0,2,1,0,1,1,16,5,31.3,0,8,29,9,0,42,0,0,0,0,0,0,0,0,
255,Curtis Jones,Liverpool,17,eng ENG,DM,19-226,25,0,0,0,0,0,0,0,0,23,8,0,0,2,15,21,71.4,59,17,51,0,0,185,59,10,11,4,6,0,0,21,0,0,0,8,0,0,0,0,0,0,4,13,3,0,0,0,0,0,0,0,8,4,50,0,3,5,17,1,23,1,0,0,0,0,0,1,1,50
255,Andrew Robertson,Liverpool,26,sco SCO,LB,26-185,90,0,1,0,0,0,0,0,0,69,9,0,1,0,39,60,65,416,30,90,0,2,743,416,13,16,22,26,4,14,44,16,1,0,13,0,3,5,1,0,4,42,5,2,10,0,0,0,0,0,0,9,4,44.4,1,16,24,32,2,53,0,0,1,0,0,0,2,0,100
255,Virgil van Dijk,Liverpool,4,nl NED,CB,29-066,90,1,0,0,0,2,1,0,0,42,1,0,0,2,25,33,75.8,209,19,82,0,0,594,209,6,7,14,16,5,9,33,0,0,0,6,0,0,0,0,0,0,5,25,2,0,0,0,0,0,0,0,1,1,100,3,16,25,2,2,42,0,0,0,0,0,0,5,0,100
255,Joe Gomez,Liverpool,12,eng ENG,CB,23-112,90,0,0,0,0,0,0,0,0,61,5,1,3,2,42,48,87.5,465,36,192,2,2,944,465,10,11,24,25,7,11,46,2,2,0,14,2,0,0,0,0,0,3,39,2,0,0,1,0,0,1,0,5,2,40,5,29,38,2,0,60,1,1,0,0,0,0,5,1,83.3
255,Trent Alexander-Arnold,Liverpool,66,eng ENG,RB,21-341,88,0,0,0,0,0,0,0,0,71,8,0,0,0,42,67,62.7,527,27,38,1,3,989,527,6,9,28,38,8,19,38,29,2,0,10,2,5,4,1,1,1,9,32,2,23,0,0,0,0,0,0,8,0,0,4,18,22,31,0,42,1,0,0,0,0,0,1,2,33.3
255,Joël Matip,Liverpool,32,cm CMR,CB,29-035,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,
255,Alisson,Liverpool,1,br BRA,GK,27-346,90,0,0,0,0,0,0,0,0,30,1,0,0,0,19,29,65.5,287,13,20,0,0,455,287,8,8,6,6,5,15,23,6,3,0,2,2,0,0,0,0,0,3,18,0,0,5,0,0,0,0,0,1,0,0,23,30,0,0,0,24,0,0,0,0,0,0,0,0,
255,Patrick Bamford,Leeds United,9,eng ENG,FW,27-007,61,1,0,0,0,2,1,0,0,17,11,0,0,1,7,10,70,0,7,32,0,0,102,0,4,7,3,3,0,0,6,4,0,0,0,0,0,0,0,0,0,3,5,1,0,1,0,0,0,0,0,11,4,36.4,3,3,8,7,2,13,1,1,1,0,0,0,0,2,0
255,Rodrigo,Leeds United,20,es ESP,FW,29-190,29,0,0,0,0,0,0,0,0,6,10,0,0,0,2,3,66.7,0,1,0,0,0,22,0,2,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,10,2,20,2,3,2,1,0,5,1,1,0,0,1,0,1,4,20
255,Jack Harrison,Leeds United,22,eng ENG,LM,23-297,90,1,0,0,0,1,1,0,0,41,23,2,0,3,18,24,75,75,26,154,3,3,328,75,10,12,6,10,2,2,24,0,0,0,6,1,2,0,0,0,0,17,4,2,0,0,2,1,2,0,0,23,9,39.1,3,14,14,15,2,41,0,1,3,0,0,0,2,0,100
255,Mateusz Klich,Leeds United,43,pl POL,CM,30-091,80,1,0,0,0,1,1,0,0,46,32,5,1,2,27,34,79.4,62,21,100,1,2,333,62,18,20,6,9,2,3,34,0,0,0,7,0,0,0,0,0,0,2,30,1,0,0,5,5,3,1,1,32,10,31.3,8,18,21,11,4,46,2,0,0,0,0,0,1,3,25
255,Jamie Shackleton,Leeds United,46,eng ENG,CM,20-340,10,0,0,0,0,0,0,0,0,6,2,1,0,0,3,3,100,0,2,1,1,1,35,0,2,2,1,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,2,0,0,1,2,2,2,0,6,0,0,0,0,0,0,0,0,
255,Pablo Hernández,Leeds United,19,es ESP,CM,35-154,61,0,0,0,0,0,0,0,0,42,16,3,0,0,21,38,55.3,148,22,62,0,1,377,148,10,17,9,15,2,4,35,3,1,0,6,1,1,0,0,0,0,4,30,2,2,0,3,1,2,0,1,16,3,18.8,0,8,24,13,1,39,0,1,0,0,0,0,0,1,0
255,Tyler Roberts,Leeds United,11,wal WAL,CM,21-244,29,0,0,0,0,0,0,0,0,13,6,1,0,2,3,10,30,16,5,19,0,0,43,16,1,3,2,5,0,1,10,0,0,0,4,1,1,0,0,0,0,1,7,1,0,0,1,0,1,0,0,6,0,0,1,5,5,3,0,13,0,0,0,0,0,0,1,0,100
255,Hélder Costa,Leeds United,17,pt POR,RM,26-244,90,0,1,0,0,0,0,0,0,32,22,2,1,3,11,15,73.3,67,20,168,2,3,141,67,7,8,3,3,0,3,15,0,0,0,3,0,2,0,0,0,0,13,2,0,0,0,2,1,2,0,0,22,7,31.8,2,11,14,11,2,32,0,1,1,0,0,0,0,3,0
255,Kalvin Phillips,Leeds United,23,eng ENG,DM,24-285,90,0,1,0,0,1,0,0,0,68,25,3,0,4,43,52,82.7,255,28,45,0,0,961,255,13,15,19,23,9,11,50,2,2,1,11,5,1,0,0,0,0,5,42,3,0,0,3,2,1,2,0,25,5,20,4,29,35,6,0,66,0,0,0,0,0,0,2,2,50
